STATE/UT,DISTRICT,YEAR,MURDER,ATTEMPT_TO_MURDER,CULPABLE_HOMICIDE_NOT_AMOUNTING_TO_MURDER,RAPE,CUSTODIAL_RAPE,OTHER_RAPE,KIDNAPPING_&_ABDUCTION,KIDNAPPING_AND_ABDUCTION_OF_WOMEN_AND_GIRLS,KIDNAPPING_AND_ABDUCTION_OF_OTHERS,DACOITY,PREPARATION_AND_ASSEMBLY_FOR_DACOITY,ROBBERY,BURGLARY,THEFT,AUTO_THEFT,OTHER_THEFT,RIOTS,CRIMINAL_BREACH_OF_TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS_HURT,DOWRY_DEATHS,ASSAULT_ON_WOMEN_WITH_INTENT_TO_OUTRAGE_HER_MODESTY,INSULT_TO_MODESTY_OF_WOMEN,CRUELTY_BY_HUSBAND_OR_HIS_RELATIVES,IMPORTATION_OF_GIRLS_FROM_FOREIGN_COUNTRIES,CAUSING_DEATH_BY_NEGLIGENCE,OTHER_IPC_CRIMES,TOTAL_IPC_CRIMES,Crime_Rate
Karnataka,Bangalore Commr.,2000,201,309,4,34,2,34,161,57,100,25,45,364,2086,7082,2756,4326,284,180,1790,105,3,4029,33,236,61,242,1,46,11803,29121,144.16336633663366
Maharashtra,Aurangabad Commr.,2000,37,26,1,16,2,12,17,16,5,5,1,39,237,503,179,323,130,24,107,2,2,369,4,34,12,103,2,108,571,2350,61.8421052631579
Maharashtra,Dhule,2000,47,27,0,18,2,18,7,6,1,8,3,13,98,360,55,302,85,20,36,1,22,340,6,19,10,126,0,188,614,2039,42.479166666666664
Jammu & Kashmir,Jammu,2000,21,81,8,9,0,7,60,55,3,7,1,2,224,406,164,241,72,14,46,3,7,39,9,22,73,18,1,95,2015,3236,147.0909090909091
Tamil Nadu,Chennai,2000,92,297,2,30,1,30,38,0,39,14,2,127,667,2165,435,1736,107,24,601,2,0,811,14,71,210,109,0,677,1241,7290,78.38709677419355
Uttar Pradesh,Jhansi,2000,63,28,32,14,1,16,30,13,18,2,2,25,44,191,77,119,31,24,47,0,1,177,16,23,4,41,0,2,629,1417,22.140625
Jammu & Kashmir,Reasi,2000,43,61,0,7,0,9,17,11,4,5,1,5,8,27,1,26,2,1,1,0,33,6,1,1,1,1,1,1,153,377,8.568181818181818
Madhya Pradesh,Chhindwara,2000,79,53,2,95,2,91,20,17,4,2,3,17,167,239,65,175,26,17,69,0,26,1085,12,201,30,107,1,96,1337,3672,45.9
Uttar Pradesh,Raibareilly,2000,77,58,21,34,1,33,38,33,5,4,1,23,96,245,26,218,69,44,46,2,12,324,27,48,20,111,2,124,687,2107,27.012820512820515
Madhya Pradesh,Indore,2000,111,135,3,95,2,93,45,29,21,4,7,141,973,2897,1372,1525,134,58,120,7,28,1114,22,216,53,247,2,317,8204,14933,133.33035714285714
Chhattisgarh,Bizapur,2000,21,18,2,6,2,6,4,4,2,16,1,1,16,14,6,6,19,0,3,2,9,18,1,0,0,0,1,2,97,240,10.909090909090908
Bihar,Katihar,2000,59,46,0,53,0,52,48,21,30,47,2,30,49,146,11,131,193,25,23,4,1,62,6,5,1,27,2,70,906,1809,30.15
Haryana,Ambala,2000,27,18,9,15,0,14,19,19,4,2,4,10,252,331,121,206,2,16,62,1,11,260,6,17,0,120,2,2,989,2173,77.60714285714286
Gujarat,Ahmedabad Rural,2000,63,26,1,6,1,7,11,13,4,6,0,18,96,233,53,182,66,37,15,1,74,431,7,19,1,68,0,185,1411,2773,43.328125
Uttar Pradesh,Gautambudh Nagar,2000,70,69,10,18,1,18,34,29,8,8,4,28,66,654,339,309,57,41,116,0,1,16,19,18,28,43,2,139,768,2214,31.183098591549296
Tamil Nadu,Vellore,2000,60,72,4,29,1,32,56,32,24,8,0,12,335,879,241,635,139,15,96,6,44,993,15,46,20,4,2,418,4994,8246,135.18032786885246
Madhya Pradesh,Hoshangabad,2000,46,84,95,64,1,62,23,19,0,1,3,41,309,339,72,264,28,5,40,2,11,424,7,121,13,43,0,2,1449,3156,67.14893617021276
Punjab,Gurdaspur,2000,25,23,3,18,1,19,15,6,7,4,7,5,42,62,24,40,0,12,57,0,0,92,6,9,2,28,0,172,241,819,31.5
Gujarat,Surat Commr.,2000,97,20,2,11,1,9,58,37,19,28,3,59,351,1420,957,465,129,66,229,8,11,353,19,11,3,131,2,169,821,3995,40.765306122448976
Odisha,Malkangir,2000,36,27,2,13,1,12,5,5,2,10,0,6,24,41,8,36,25,4,5,2,3,70,1,27,2,11,1,16,165,496,13.405405405405405
Uttar Pradesh,Total,2000,7603,7962,1186,1960,1,1958,4328,2878,1452,906,40,3824,8413,27009,6188,20823,7344,3430,5365,148,810,17814,2213,2870,2576,7367,1,7128,57841,178130,23.425828511309838
Assam,Morigaon,2000,20,11,2,22,1,25,38,38,2,14,2,10,82,67,2,65,79,2,9,0,3,31,2,4,1,30,1,45,257,731,34.80952380952381
Odisha,Total,2000,1073,1371,56,689,1,689,521,434,89,244,32,946,2884,5266,1027,4239,1598,247,791,14,405,4947,250,1607,188,1166,1,2673,20753,47729,44.440409683426445
Rajasthan,Tonk,2000,20,24,1,18,0,19,88,73,17,2,0,14,99,296,80,212,167,8,120,0,23,1319,0,47,5,171,1,110,1209,3737,177.95238095238096
Haryana,Yamunanagar,2000,41,12,1,22,2,22,28,23,4,7,10,9,100,200,74,130,4,7,30,0,6,234,11,32,6,65,2,1,585,1404,33.42857142857143
Punjab,Batala,2000,19,22,2,8,1,6,6,4,3,1,2,3,20,27,9,17,1,1,46,0,2,101,8,1,1,19,2,43,68,392,19.6
Chhattisgarh,Bizapur,2000,21,19,0,7,1,6,3,1,1,12,2,3,13,15,5,10,17,1,0,2,12,22,2,1,2,1,2,4,95,239,10.863636363636363
Chhattisgarh,Raipur,2000,84,65,3,157,1,161,40,37,4,3,0,36,469,699,240,455,60,21,100,7,23,905,22,186,34,107,0,275,2303,5597,65.84705882352941
Rajasthan,Banswara,2000,39,26,1,89,2,91,59,61,2,6,2,23,96,118,14,106,427,10,56,2,52,1451,12,111,0,152,0,55,725,3509,87.725
Bihar,Bhojpur,2000,146,42,1,15,1,19,44,17,25,37,5,47,100,247,9,239,124,22,71,0,39,27,49,2,2,78,3,10,1913,3023,20.564625850340136
Arunachal Pradesh,Dibang Valley,2000,4,2,2,5,0,6,5,6,1,0,0,11,16,22,1,20,5,1,3,1,0,36,0,3,0,5,0,0,56,180,36.0
Gujarat,Rajkot Commr.,2000,30,33,2,6,2,7,48,40,9,6,2,32,306,1243,530,717,108,54,70,0,10,626,1,18,11,198,2,80,1882,4775,154.03225806451613
Odisha,Kandhamal,2000,20,12,4,32,0,31,34,31,4,0,1,14,58,87,2,82,16,11,6,2,4,373,4,74,8,50,2,23,126,947,45.095238095238095
Karnataka,Bangalore Rural,2000,154,115,8,20,2,22,36,0,40,25,0,56,498,766,128,636,478,36,64,3,43,1272,37,116,1,130,2,1,3458,7308,47.148387096774194
Maharashtra,Solapur Rural,2000,100,30,1,35,1,35,22,15,11,18,13,29,133,364,65,300,161,35,31,2,28,637,5,39,11,90,2,383,966,3146,31.14851485148515
Jammu & Kashmir,Srinagar,2000,84,48,4,22,1,25,119,106,9,7,0,32,336,641,378,263,153,18,78,1,46,49,1,269,88,12,1,38,1056,3102,36.49411764705882
Gujarat,Kheda North,2000,57,16,2,8,2,11,31,30,2,21,1,22,129,351,92,262,170,42,55,0,68,479,0,41,1,106,1,172,2102,3866,66.65517241379311
Uttar Pradesh,St.Ravidasnagar,2000,21,25,3,1,2,3,9,6,0,4,0,11,48,101,35,65,27,9,13,2,1,106,8,1,1,23,0,62,113,590,26.818181818181817
Nagaland,Mokokchung,2000,14,1,4,0,1,0,1,0,3,1,2,5,16,13,2,13,2,1,4,2,3,3,2,2,2,2,0,0,32,95,6.333333333333333
Karnataka,Chamarajnagar,2000,17,16,2,6,0,2,5,6,1,1,1,11,74,133,20,112,108,5,11,1,25,481,6,42,1,16,1,1,435,1388,77.11111111111111
Tamil Nadu,Karur,2000,27,14,2,2,1,4,13,8,3,6,0,7,37,227,111,115,30,7,13,5,12,196,0,19,3,16,1,194,1417,2243,80.10714285714286
Odisha,Bhadrak,2000,26,37,6,26,1,25,17,16,0,6,1,14,60,56,9,47,74,2,13,0,12,16,13,34,10,11,0,60,915,1413,52.333333333333336
Uttar Pradesh,Saharanpur,2000,100,129,12,39,1,40,77,51,22,13,1,64,80,427,132,296,162,59,162,3,9,55,20,46,98,194,2,46,1072,2867,28.386138613861387
Odisha,Sonepur,2000,9,21,0,6,1,8,2,6,1,1,2,8,28,37,2,33,16,6,8,1,4,28,4,30,6,11,1,18,201,443,44.3
Maharashtra,Hingoli,2000,37,26,2,20,0,19,11,8,2,6,4,39,119,241,23,217,96,6,19,1,32,471,3,42,5,132,2,59,471,1842,48.473684210526315
Gujarat,Mehsana,2000,48,41,0,12,1,12,43,38,6,51,1,53,245,613,119,492,195,36,60,1,89,1142,1,38,6,171,0,154,2121,5121,104.51020408163265
Rajasthan,Ganganagar,2000,51,96,1,57,1,54,78,64,16,0,0,12,251,409,91,313,36,55,395,2,9,1108,15,118,4,373,1,136,2398,5611,107.90384615384616
Uttar Pradesh,Unnao,2000,126,93,13,35,1,35,64,54,8,3,1,49,65,218,38,183,91,34,62,2,16,398,56,72,8,116,0,144,996,2664,20.976377952755904
Odisha,Srp(Rourkela),2000,5,1,1,1,2,2,1,4,0,4,2,10,11,136,3,132,8,1,3,1,1,7,1,4,1,0,0,2,83,269,44.833333333333336
Bihar,Khagaria,2000,66,21,4,13,1,14,30,12,17,9,2,19,22,73,10,68,174,5,16,0,2,28,7,7,1,17,0,31,540,1099,16.402985074626866
Andhra Pradesh,Nizamabad,2000,92,41,14,37,1,36,28,23,8,11,0,28,178,338,67,270,47,32,136,0,40,1935,19,70,26,280,0,276,791,4419,47.516129032258064
Andhra Pradesh,Guntur,2000,182,87,4,52,2,53,82,50,31,17,2,58,336,1123,171,952,245,69,298,6,45,1792,6,140,131,380,1,371,2428,7848,42.885245901639344
Punjab,Total,2000,731,730,80,301,2,299,552,354,199,48,85,112,1926,2965,1266,1696,1,371,2714,39,70,4452,167,340,143,945,2,2308,9714,28792,39.333333333333336
Andhra Pradesh,Karimnagar,2000,159,88,6,99,2,98,61,44,20,18,2,58,216,406,92,308,193,44,357,2,50,2669,43,359,123,211,2,418,1505,7084,44.275
Goa,North Goa,2000,16,11,2,10,1,9,5,1,2,0,2,17,219,286,83,204,44,15,50,3,19,128,1,10,2,4,0,114,426,1379,81.11764705882354
Madhya Pradesh,Shajapur,2000,42,48,2,92,2,92,15,10,4,1,1,46,274,588,96,491,94,10,30,1,36,745,9,154,36,65,0,57,1326,3661,85.13953488372093
Haryana,Jhajjar,2000,43,24,1,17,0,17,16,12,4,3,5,18,95,200,90,106,53,43,33,5,2,170,15,39,39,113,0,103,485,1519,34.52272727272727
Bihar,Katihar Rly.,2000,16,0,2,3,2,2,3,0,3,8,0,15,19,217,7,213,8,2,10,2,0,2,1,4,2,2,1,0,130,434,25.529411764705884
Madhya Pradesh,Ratlam,2000,36,45,3,69,2,68,8,6,3,1,5,38,220,401,95,306,44,16,16,1,28,419,8,140,18,80,2,87,1642,3334,90.10810810810811
Gujarat,Anand,2000,49,30,1,6,0,8,39,35,3,8,1,12,151,359,110,252,186,103,49,1,56,570,2,23,1,181,1,199,1829,3857,77.14
Andhra Pradesh,Nellore,2000,89,70,6,44,0,44,89,82,10,10,3,16,245,610,73,534,96,22,177,2,63,1117,9,205,228,287,2,265,1584,5245,58.27777777777778
Andhra Pradesh,Warangal,2000,159,79,7,51,1,55,79,26,57,2,0,25,265,420,80,340,329,6,137,1,1,1717,53,239,1,163,1,270,2314,6321,39.50625
Uttar Pradesh,G.R.P.,2000,33,21,2,0,0,4,5,2,4,23,3,49,5,3142,82,3058,11,35,41,1,2,27,1,16,72,2,2,2,867,4353,128.02941176470588
Arunachal Pradesh,Kameng East,2000,4,4,1,1,1,0,6,1,3,1,2,4,9,24,2,21,10,2,1,0,1,39,0,8,0,1,0,2,26,126,25.2
Bihar,Madhepura,2001,52,21,5,12,1,12,34,6,23,27,3,43,20,73,9,63,162,5,7,0,10,118,6,8,1,10,0,24,384,1021,19.264150943396228
Uttar Pradesh,Deoria,2001,46,97,17,9,1,9,41,35,5,1,2,28,89,161,25,141,194,41,55,1,9,194,29,17,14,46,2,48,1281,2401,51.08510638297872
Arunachal Pradesh,Subansiri Upper,2001,5,0,2,2,1,2,3,1,1,0,1,8,17,11,0,12,2,2,2,2,5,37,1,1,0,0,1,2,36,118,19.666666666666668
Madhya Pradesh,Jabalpur,2001,72,146,6,82,2,82,32,16,18,2,0,115,567,987,390,595,66,5,77,8,27,2955,48,250,66,123,2,200,3461,9290,127.26027397260275
Nagaland,Peren,2001,2,4,1,0,2,2,2,1,1,1,2,1,11,2,0,4,2,0,3,1,1,1,1,2,1,2,1,0,12,27,9.0
Andhra Pradesh,West Godavari,2001,70,90,1,53,2,56,59,32,25,5,1,17,286,826,122,707,67,61,305,7,47,1117,11,223,71,447,2,443,1847,6060,85.35211267605634
Haryana,Kurukshetra,2001,28,13,2,25,0,24,11,9,2,4,5,17,144,363,178,185,1,7,134,2,5,190,11,24,18,90,1,1,708,1804,62.206896551724135
Jammu & Kashmir,Anantnag,2001,85,97,1,16,0,17,67,60,7,5,2,26,141,91,15,76,51,9,21,5,45,53,2,67,55,0,1,28,503,1358,15.790697674418604
Assam,Barpeta,2001,65,4,1,29,2,29,107,90,19,41,2,47,95,187,3,186,194,24,30,1,38,264,8,31,1,96,0,85,431,1776,26.90909090909091
Jharkhand,Garhwa,2001,33,7,4,9,1,10,3,1,2,19,0,16,33,56,13,38,113,4,13,1,10,127,17,0,2,5,0,1,319,787,23.147058823529413
Odisha,Ganjam,2001,56,90,1,21,1,20,12,10,4,8,1,29,96,125,8,115,64,7,14,2,28,170,0,102,8,7,1,187,751,1790,31.403508771929825
Uttar Pradesh,Sonbhadra,2001,17,13,13,4,0,6,7,3,3,6,1,4,17,40,13,29,7,4,7,3,1,47,10,7,16,4,1,67,36,336,18.666666666666668
Punjab,Batala,2001,31,34,6,12,0,12,13,7,5,1,0,4,19,50,17,30,2,13,70,2,2,149,8,4,2,33,0,39,161,642,20.0625
Madhya Pradesh,Rewa,2001,57,45,2,43,1,39,37,13,23,7,8,59,721,394,149,244,50,5,18,2,27,582,27,112,4,42,1,108,2109,4448,76.6896551724138
Karnataka,Bellary,2001,63,60,2,11,1,9,11,6,5,4,1,20,189,266,67,200,269,4,28,5,13,642,8,69,2,53,0,2,1366,3090,48.28125
West Bengal,Purab Midnapur,2001,37,3,20,24,1,27,41,40,2,9,8,11,10,155,10,146,134,0,3,0,2,0,40,8,2,173,0,1,1261,1944,51.1578947368421
Maharashtra,Washim,2001,31,22,5,16,1,16,14,14,0,8,2,15,123,411,19,387,64,5,7,0,22,397,8,59,9,118,1,61,439,1825,57.03125
A & N Islands,Andaman,2001,14,1,2,4,0,3,1,1,1,0,1,4,64,63,3,61,15,10,6,2,2,111,2,19,1,11,0,2,312,638,42.53333333333333
D & N Haveli,Total,2001,5,1,2,4,1,8,5,3,0,2,1,0,34,44,17,30,4,11,14,0,1,31,2,5,1,6,1,2,181,349,58.166666666666664
Andhra Pradesh,Srikakulam,2001,40,8,2,6,2,9,13,10,1,0,0,5,119,231,1,232,72,20,54,1,36,678,7,36,46,110,2,166,924,2573,62.75609756097561
Uttar Pradesh,Kaushambi,2001,62,30,15,26,0,28,18,16,7,1,0,16,42,84,4,77,25,19,30,1,16,138,12,23,4,34,0,77,275,952,15.11111111111111
Rajasthan,Jodhpur,2001,38,70,6,34,2,34,97,62,36,0,0,26,377,1012,490,523,102,73,513,0,47,2319,15,98,2,284,2,254,1467,6825,175.0
Odisha,Bhadrak,2001,26,10,1,33,1,37,21,17,2,2,0,18,82,91,9,87,53,9,11,1,8,35,21,30,6,80,0,44,769,1353,50.111111111111114
Punjab,Sangrur,2001,32,37,8,19,2,20,16,15,6,3,5,9,113,153,70,84,2,31,106,2,6,186,10,16,2,55,1,117,401,1328,40.24242424242424
Uttar Pradesh,Baghpat,2001,87,159,7,13,1,15,31,15,12,15,2,54,43,219,34,182,55,27,45,4,6,5,19,19,13,65,0,19,448,1356,15.409090909090908
Assam,Nalbari,2001,80,35,0,32,2,32,55,28,28,17,2,41,96,120,4,117,4,13,17,3,19,171,2,16,2,15,1,26,435,1196,14.765432098765432
Jharkhand,Dumka,2001,65,147,4,52,1,49,17,3,13,6,1,11,53,89,2,87,101,44,10,1,5,57,9,31,2,38,1,48,222,1010,15.303030303030303
Himachal Pradesh,Una,2001,4,6,2,7,1,11,3,4,1,2,1,3,57,36,7,30,38,3,7,0,4,119,2,9,1,19,2,62,319,712,142.4
Madhya Pradesh,Umariya,2001,20,10,1,27,1,25,5,1,2,1,2,20,129,125,0,127,29,3,15,2,13,130,0,62,6,19,1,0,1233,1849,88.04761904761905
Rajasthan,Sikar,2001,40,27,6,13,1,14,54,25,24,3,0,4,208,307,54,250,577,11,216,2,48,463,12,44,2,116,2,157,1756,4056,98.92682926829268
Delhi Ut,South,2001,81,59,6,66,1,65,164,123,40,6,1,75,516,3541,1899,1642,38,103,291,3,12,250,20,78,24,20,0,98,3855,9308,113.51219512195122
Punjab,Patiala,2001,47,46,5,19,2,20,41,28,14,0,6,6,236,317,148,169,1,33,242,6,1,385,16,45,2,121,0,392,1245,3196,66.58333333333333
Jharkhand,Gumla,2001,110,33,7,30,1,32,10,10,2,21,0,40,36,58,7,52,33,10,4,2,2,3,0,2,1,16,0,4,265,689,6.207207207207207
Uttar Pradesh,Mahoba,2001,30,18,10,2,0,2,6,4,3,1,1,8,16,38,8,30,12,7,14,2,1,26,10,11,8,4,2,16,147,387,12.483870967741936
Madhya Pradesh,Indore,2001,113,135,2,82,2,84,52,36,15,5,12,112,875,2709,1358,1346,127,60,149,4,28,1306,27,217,64,160,2,268,6566,13064,114.59649122807018
Gujarat,Junagadh,2001,56,36,2,13,2,12,45,39,7,2,2,53,250,545,131,417,86,95,123,3,12,540,12,43,7,384,0,161,2704,5186,90.98245614035088
Kerala,Kasargod,2001,17,22,0,28,0,27,6,3,3,33,0,9,132,144,78,66,684,11,55,2,2,628,2,1,0,68,2,1,1278,3117,173.16666666666666
Maharashtra,Akola,2001,62,39,2,17,2,17,13,14,2,11,1,43,296,733,81,656,101,13,60,16,46,837,1,109,7,191,2,114,1307,4022,63.84126984126984
Assam,Golaghat,2001,51,0,1,28,2,31,43,42,4,12,1,29,94,209,29,183,26,3,21,2,21,133,2,23,1,28,1,74,363,1168,22.46153846153846
Andhra Pradesh,Vijayawada Rly.,2001,4,0,1,3,2,1,1,1,1,0,2,1,1,329,0,324,0,2,4,9,1,9,1,0,2,0,2,2,48,410,82.0
Uttar Pradesh,Bulandshahar,2001,249,211,18,30,1,30,94,65,29,21,3,102,111,461,80,379,148,68,108,1,23,74,44,70,217,226,1,185,1510,3974,15.896
Andhra Pradesh,Cuddapah,2001,81,53,2,19,2,22,23,21,4,1,2,3,99,174,38,139,162,10,37,1,21,795,16,127,39,57,1,231,1181,3139,38.28048780487805
Gujarat,Anand,2001,27,18,0,4,2,1,32,30,0,9,0,14,194,429,86,340,64,115,74,1,22,595,2,29,2,209,1,149,1894,3881,138.60714285714286
West Bengal,Sealdah G.R.P.,2001,21,5,3,1,1,1,5,0,0,2,6,9,2,274,0,275,17,0,6,2,1,16,0,2,0,1,0,0,42,416,18.90909090909091
Uttar Pradesh,Azamgarh,2001,87,62,19,5,1,5,24,22,3,5,3,74,78,115,33,81,53,23,66,4,0,241,16,18,40,46,0,37,382,1403,15.943181818181818
Delhi Ut,East,2001,54,51,15,24,0,22,164,41,123,6,13,45,272,1653,836,816,18,40,143,7,4,255,11,54,13,25,0,21,1553,4448,80.87272727272727
Maharashtra,Aurangabad Rural,2001,52,31,2,14,0,11,13,7,4,12,0,31,130,290,42,252,160,10,25,1,53,792,22,34,11,210,1,199,615,2703,51.0
Haryana,Gurgaon,2001,62,32,4,30,1,32,44,37,9,4,18,38,359,815,575,240,62,35,39,1,11,225,13,15,27,100,0,5,1727,3683,58.46031746031746
Uttar Pradesh,Unnao,2001,112,66,19,23,0,23,20,20,1,2,7,43,37,126,35,91,31,17,23,0,1,257,44,26,193,44,2,151,646,1888,16.707964601769913
Uttarakhand,Bageshwar,2001,3,1,0,6,2,6,4,1,0,1,2,9,2,24,2,23,2,0,7,1,0,16,4,1,0,7,1,2,43,131,32.75
Uttar Pradesh,Faizabad,2001,30,27,17,9,2,10,13,10,1,5,2,4,35,61,11,49,10,43,1,6,3,151,4,6,44,4,1,69,174,705,22.741935483870968
Madhya Pradesh,Sheopur,2001,16,29,1,18,2,21,3,1,1,3,0,9,57,95,7,85,39,5,7,1,3,228,0,51,2,9,1,18,664,1253,73.70588235294117
Uttar Pradesh,Rampur,2001,88,100,28,22,1,24,44,27,15,9,1,37,73,264,30,235,50,33,43,1,11,136,20,10,2,47,2,62,565,1645,18.48314606741573
Punjab,Barnala,2001,16,30,3,11,1,13,15,15,4,0,0,1,32,41,9,29,2,6,47,2,3,70,6,11,1,22,1,50,132,499,29.352941176470587
Himachal Pradesh,Shimla,2001,20,16,0,21,0,23,20,18,3,2,2,5,145,153,47,108,104,17,18,1,9,78,4,40,6,13,1,89,1205,1962,93.42857142857143
Madhya Pradesh,Guna,2001,64,72,7,149,1,149,5,5,4,9,12,50,389,371,56,313,166,10,20,1,38,1652,14,339,37,97,2,156,2604,6266,96.4
Tripura,South,2001,40,3,1,28,1,27,20,8,13,4,2,9,31,37,6,34,35,2,5,0,8,92,3,19,2,60,2,0,194,588,14.341463414634147
Rajasthan,Sawai Madhopur,2001,23,31,0,22,2,23,42,26,15,1,0,11,112,304,104,197,18,15,155,1,12,29,11,58,1,112,1,41,2102,3098,129.08333333333334
Uttar Pradesh,Ambedkar Nagar,2001,44,51,6,20,0,19,30,31,1,4,2,23,97,117,8,109,64,14,41,2,11,242,16,16,11,87,2,36,447,1381,30.68888888888889
Bihar,Motihari,2001,112,59,18,40,1,41,113,19,96,24,5,66,130,293,8,288,385,66,123,0,29,326,34,50,2,109,1,114,2189,4286,37.92920353982301
Maharashtra,Satara,2001,60,22,0,19,1,16,13,6,6,19,5,36,214,508,134,369,88,31,80,1,16,413,8,42,7,157,1,342,1098,3165,51.885245901639344
Kerala,Kannur,2001,10,38,6,13,0,15,6,4,0,8,1,13,216,164,68,96,506,17,82,4,1,803,2,65,4,176,1,1,2141,4272,388.3636363636364
Punjab,Ludhiana,2001,75,67,8,40,1,38,89,47,44,7,26,24,248,623,383,241,0,42,438,5,4,259,10,48,11,250,2,208,1311,3784,49.78947368421053
Uttarakhand,Haridwar,2001,96,76,8,12,2,15,51,24,28,7,1,45,63,347,109,244,135,52,84,1,7,273,8,20,34,107,0,120,303,1845,19.02061855670103
Gujarat,Bhavnagar,2001,60,42,0,10,2,8,51,40,11,10,2,46,279,500,201,301,404,135,69,5,76,136,2,58,9,124,1,10,3125,5144,84.32786885245902
Haryana,Faridabad,2001,55,30,0,36,2,37,71,48,20,4,20,20,265,702,446,253,130,135,40,9,10,301,15,35,981,134,0,11,4107,7109,126.94642857142857
Madhya Pradesh,Raisen,2001,35,49,2,74,2,74,9,10,0,1,1,14,154,209,37,172,33,4,8,2,9,233,19,177,1,46,2,97,2210,3377,93.80555555555556
Tamil Nadu,Salem Rural,2001,79,41,0,15,1,12,26,23,1,7,2,8,71,209,67,142,226,0,16,4,27,1862,2,53,6,26,1,373,1452,4506,56.325
Maharashtra,Chandrapur,2001,50,28,3,42,0,45,10,9,4,8,2,37,253,572,55,515,112,20,36,1,41,537,1,100,29,145,2,179,924,3121,61.19607843137255
Arunachal Pradesh,Siang Upper,2001,4,3,1,3,1,1,3,1,0,1,2,2,10,18,1,17,2,1,2,0,2,11,2,1,2,1,0,1,9,54,10.8
Tamil Nadu,Thirunelveli Rural,2001,73,125,1,55,1,56,64,55,13,2,1,27,311,560,36,526,96,15,51,9,101,835,1,154,64,11,2,210,3572,6352,85.83783783783784
Uttar Pradesh,Hathras,2001,78,82,9,26,1,23,51,28,19,19,5,52,59,175,32,143,117,56,60,2,3,159,20,41,12,105,2,72,653,1844,23.341772151898734
Madhya Pradesh,Khandwa,2001,30,32,0,54,1,55,20,16,1,0,2,9,225,220,49,174,35,10,22,2,5,33,7,156,20,23,0,47,1836,2791,90.03225806451613
Madhya Pradesh,Jhabua,2001,123,120,1,44,1,44,85,79,3,3,4,21,163,270,11,255,74,4,11,2,46,635,7,128,4,24,1,1,1652,3418,27.56451612903226
Uttar Pradesh,Badaun,2001,237,273,30,48,2,45,80,43,40,25,0,66,119,306,14,294,63,41,64,2,40,616,63,51,12,76,1,5,847,3065,12.878151260504202
Uttar Pradesh,Mainpuri,2001,123,123,15,10,2,10,53,28,26,22,2,67,51,130,26,101,87,33,71,2,19,190,44,18,1,37,2,3,599,1699,13.701612903225806
Chhattisgarh,Balrampur,2001,24,20,1,22,2,22,2,1,2,15,0,9,52,34,5,33,15,1,1,1,9,29,3,31,1,14,1,11,193,490,19.6
Uttar Pradesh,Gonda,2001,70,99,26,17,0,18,32,19,15,16,0,32,118,161,25,138,65,41,91,1,11,264,25,20,12,46,1,71,505,1717,24.183098591549296
Assam,G.R.P.,2001,4,2,1,1,0,2,1,1,0,8,0,5,2,54,1,54,9,1,3,0,2,8,1,1,1,1,0,2,93,181,36.2
Jammu & Kashmir,Budgam,2001,44,25,3,13,2,13,40,35,7,4,1,3,47,111,15,91,87,4,15,0,18,1,2,79,15,2,1,20,312,833,18.511111111111113
Rajasthan,Ganganagar,2001,62,94,1,55,2,55,58,51,8,2,2,10,212,440,119,320,6,80,434,1,16,1157,18,101,1,390,2,146,2106,5391,85.57142857142857
Rajasthan,Rajsamand,2001,20,24,0,10,1,10,62,42,17,1,1,8,90,148,58,92,205,23,98,1,27,1226,9,39,2,75,2,139,392,2585,123.0952380952381
Punjab,Patiala,2001,45,48,4,16,0,19,41,31,14,1,7,5,235,317,148,171,1,31,241,4,1,385,16,45,2,118,1,389,1243,3196,69.47826086956522
Mizoram,Kolasib,2001,1,1,1,7,2,7,1,2,1,2,1,0,17,83,1,81,0,4,4,0,4,11,2,13,2,2,1,9,51,214,107.0
Himachal Pradesh,Kinnaur,2001,3,1,1,6,1,4,1,2,2,0,2,2,20,9,0,13,12,0,1,1,3,15,2,7,2,9,0,24,50,152,38.0
Assam,R.P.O.,2001,9,1,1,5,2,5,0,1,3,14,2,2,1,28,2,27,15,2,0,1,0,1,1,2,1,1,1,0,25,103,10.3
Assam,G.R.P.,2001,3,2,1,0,2,2,0,2,2,8,0,4,1,55,1,56,6,1,2,2,1,10,2,0,0,1,2,1,95,182,45.5
Arunachal Pradesh,Siang West,2001,6,0,0,6,0,6,5,3,1,0,0,2,20,52,5,46,2,6,2,2,1,59,2,7,1,3,0,0,85,259,37.0
Rajasthan,G.R.P.,2001,3,9,1,0,1,1,2,2,4,5,3,10,5,535,10,528,2,5,6,1,2,4,4,13,1,2,2,2,256,859,214.75
Odisha,Gajapati,2001,19,6,1,11,2,11,4,3,3,1,1,3,15,39,0,39,14,4,12,1,6,17,1,12,4,6,2,25,232,433,21.65
Gujarat,Surat Rural,2001,80,9,0,11,2,12,20,13,4,8,4,18,90,210,69,136,26,31,29,1,13,324,2,19,0,42,2,308,831,2060,25.432098765432098
Andhra Pradesh,Chittoor,2001,106,64,6,28,2,28,68,40,26,5,2,16,207,833,199,633,72,58,173,1,45,998,17,126,38,190,2,477,2788,6306,58.93457943925234
Kerala,Railways,2001,5,2,0,2,1,1,2,2,1,2,2,5,1,156,3,157,10,2,1,1,1,16,0,2,2,0,2,2,47,239,39.833333333333336
